epsilon_progress,nfe
0,0
34,100
188,1100
308,2100
475,3100
585,4100
677,5100
753,6100
817,7100
864,8100
908,9100
957,10516
1084,11892
1157,13268
1214,14644
1259,16020
1283,17396
1311,18772
1342,20148
1376,21524
1402,22900
1424,24276
1446,25652
1467,27028
1481,28404
1504,29780
1513,31156
1529,32532
1544,33908
1553,35284
1571,36660
1580,38036
1585,39412
1596,40788
1610,42164
1615,43540
1619,44916
1624,46292
1636,47668
1639,49044
1645,50420
1652,51796
1657,53172
1668,54548
1674,55924
1680,57300
1688,58676
1692,60052
1698,61428
1703,62804
1704,64180
1711,65556
1719,66932
1725,68308
1729,69684
1731,71060
1731,72436
1735,73812
1737,75188
1741,76564
1743,77940
1744,79316
1752,81066
1757,82066
1762,83066
1765,84066
1766,85066
1767,86066
1770,87066
1772,88066
1773,89066
1774,90066
1776,91066
1777,92066
1777,93066
1777,94066
1778,95066
1778,96066
1779,97066
1779,98066
1781,99066
1782,100066
1784,101066
1785,102066
1787,103066
1787,104066
1787,105066
1787,106066
1787,107066
1787,108066
1789,109066
1789,110066
1789,111066
1791,112066
1792,113066
1793,114066
1793,115066
1794,116066
1794,117066
1794,118066
1795,119066
1795,120066
1795,121066
1795,122066
1795,123066
1795,124066
1795,125066
1795,126066
1795,127066
1795,128066
1796,129066
1798,130066
1799,131066
1799,132066
1799,133066
1800,134066
1801,135066
1801,136066
1802,137066
1802,138066
1802,139066
1802,140066
1802,141066
1802,142066
1803,143066
1803,144066
1803,145066
1803,146066
1803,147066
1804,148066
1804,149066
1804,150066
