0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63096278.71597082,0.0,303800000.0,0.0,0.05905987467159544
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59886032.73634848,6320800.309666242,182600000.0,0.0,0.06171988144931581
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115075246.04476634,6320800.309666242,30700000.0,0.0,0.11369039140601798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,144461436.2702626,6320800.309666242,0.0,0.0,0.14870263330376476
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134052465.50161412,0.0,30700000.0,0.0,0.12454657837346747
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78749010.3839292,0.0,273100000.0,0.0,0.0779849636382847
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110799567.92343265,0.0,61400000.0,0.0,0.09707742798204985
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,61453376.28957754,8453407.696608048,61400000.0,0.0,0.07031785485475367
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91822348.46658486,6320800.309666242,61400000.0,0.0,0.08622124101460037
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163438655.7271104,0.0,0.0,0.0,0.15955882027121426
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,81657892.41957113,7332080.219521779,30700000.0,0.0,0.09419472550293777
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,61492899.280298665,7332080.219521779,61400000.0,0.0,0.06832030299357036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,96783562.40762421,45577202.17128583,0.0,0.0,0.14864248460252247
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,74399672.08802022,40026981.31368371,30700000.0,0.0,0.08750704989836189
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,28896097.56663728,75474067.40994257,61400000.0,0.0,0.030290070494818837
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62861248.694888785,6320800.309666242,176700000.0,0.0,0.05415607477950942
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0.0,82575109.01143888,419100000.0,0.0,0.0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,13514410.527989201,47940317.3139291,297900000.0,0.0,0.01616698743725519
0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26295120.70059255,6320800.309666242,540300000.0,0.0,0.028419967644701543
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,26931163.209433597,55174779.78262188,92100000.0,0.0,0.027659401825663683
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81838468.15173656,0.0,176700000.0,0.0,0.0650122617469589
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22299664.597054113,7332080.219521779,540300000.0,0.0,0.02608489841795604
0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,15597110.011180535,46698529.6483721,297900000.0,0.0,0.017605568229339466
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,90068579.41216606,56296107.25970815,0.0,0.0,0.18090096152508897
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33805571.89610968,7332080.219521779,297900000.0,0.0,0.036415852193901095
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77041510.5478507,0.0,297900000.0,0.0,0.06108468083811237
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52076062.60207121,0.0,334500000.0,0.0,0.04599502630902783
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,45837624.80761552,45577202.17128583,61400000.0,0.0,0.046780738949154875
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30766154.916572314,6320800.309666242,419100000.0,0.0,0.03140469421329289
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89096688.48328748,0.0,92100000.0,0.0,0.07169993735153476
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,44869735.596865654,55174779.78262188,61400000.0,0.0,0.06664387301864079
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38024375.24812323,6320800.309666242,334500000.0,0.0,0.03809236981786876
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70119469.0264397,6320800.309666242,92100000.0,0.0,0.06084375038408529
0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,10756654.638251146,49139215.98116404,419100000.0,0.0,0.007913702054254217
0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23389584.78761941,7332080.219521779,419100000.0,0.0,0.02699381775556381
0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,27571165.93466627,8453407.696608048,297900000.0,0.0,0.03239045605095896
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,43073654.485763796,7332080.219521779,176700000.0,0.0,0.044894420674686075
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30647805.11917032,7332080.219521779,334500000.0,0.0,0.03368149336013968
0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40480035.3359129,6320800.309666242,297900000.0,0.0,0.04041502435537574
0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28665993.654079895,6320800.309666242,509600000.0,0.0,0.03316828005217041
0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,26428168.09163919,45577202.17128583,267200000.0,0.0,0.027634932846024824
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,15304384.023543805,55174779.78262188,213300000.0,0.0,0.012169547747342946
0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3504072.6844048537,51271823.36810584,419100000.0,0.0,0.0033994565566242124
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,18821000.801663756,46698529.6483721,267200000.0,0.0,0.022644761981791686
0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29396662.759715065,0.0,796400000.0,0.0,0.030113928469947482
