0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1584931798.1367562,6320800.309666242,382500000.0,0.0,1.7935472504353909
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180075789.613424,0.0,261300000.0,0.0,2.492134427618536
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,9,0,3,4,0,2,7,0,0,9513397.548306515,262389393.29030356,0.0,152.64611845717826,0.004536448087051187
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802461637.0031695,0.0,199900000.0,0.0,3.175393388307286
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089269351.2928486,42291505.65437629,30700000.0,0.0,3.3267552214091274
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5653462461.774405,0.0,61400000.0,0.0,4.19048414611394
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465471115.8206296,42291505.65437629,92100000.0,0.0,2.642606016152647
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4268730085.5683823,0.0,92100000.0,0.0,2.5434972360854324
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3070806058.8974667,0.0,169200000.0,0.0,3.5471181181814866
1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,706942285.0783105,15063068.18035096,1098800000.0,13533.390305959398,0.28688915727625863
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620523310.921856,47847947.961454235,61400000.0,0.0,2.9919915627319016
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,704752073.5537027,66489538.10573767,61400000.0,0.0,0.4323131887565691
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900689064.40239,42291505.65437629,61400000.0,0.0,3.1363566121068835
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3696985675.390658,30518832.761027623,61400000.0,0.0,1.844220431413275
