epsilon_progress,nfe
0,0
32,100
118,1100
199,2100
306,3100
386,4100
459,5100
503,6100
539,7100
575,8100
608,9100
635,10333
674,11665
694,12997
712,14329
737,15661
747,16993
757,18325
769,19657
774,20989
781,22321
789,23653
793,24985
804,26317
804,27649
807,28981
809,30313
813,31645
813,32977
814,34309
816,35641
817,36973
818,38305
820,39637
825,40969
826,42301
828,43633
831,44965
832,46297
832,47629
832,48961
832,50293
832,51625
833,52957
833,54289
834,55621
834,56953
834,58285
834,59617
834,60949
834,62281
834,63613
834,64945
835,66277
835,67609
835,68941
835,70273
835,71605
835,72937
836,74269
836,75601
836,76933
836,78265
836,79597
836,80929
836,82261
836,83593
836,84925
836,86257
836,87589
836,88921
836,90253
836,91585
836,92917
836,94249
836,95581
836,96913
836,98245
836,99577
836,100909
836,102241
836,103573
836,104905
836,106237
836,107569
836,108901
836,110233
836,111565
836,112897
836,114229
836,115561
836,116893
836,118225
836,119557
836,120889
836,122221
836,123553
836,124885
836,126217
836,127549
836,128881
836,130213
836,131545
836,132877
836,134209
836,135541
836,136873
836,138205
836,139537
836,140869
836,142201
836,143533
836,144865
836,146197
836,147529
836,148861
836,150193
