0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,4,0,0,0.0,118471620.94751419,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,25942047.601969168,57078128.38598077,30700000.0,0.0,0.026655321631724828
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,29722932.611802492,51440593.628480166,0.0,0.0,0.02297213166707428
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,16725167.229388542,56066848.47612524,61400000.0,0.0,0.012617249269401058
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26759306.975504205,20299287.62732069,182600000.0,0.0,0.020568181311305632
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88954233.42067853,0.0,61400000.0,0.0,0.10077495684319836
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123181716.50380167,0.0,30700000.0,0.0,0.1709627082346833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158131557.1024896,0.0,0.0,0.0,0.23824029987250386
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13454293.886728613,0.0,334500000.0,0.0,0.01302314583199335
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65814441.69785798,20299287.62732069,61400000.0,0.0,0.06328510118174625
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,5176964.44246376,105821381.86184722,30700000.0,0.0,0.00857458987254063
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50867859.535327554,0.0,182600000.0,0.0,0.07071815389181263
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,124791289.76650062,20299287.62732069,0.0,0.0,0.17533265788361513
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57615836.332926504,0.0,92100000.0,0.0,0.051983763681838935
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,75406551.47585462,22167818.198803753,0.0,0.0,0.09311108174039809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,26299028.53593982,55556046.84720135,0.0,0.0,0.027369782659945767
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26466660.655581262,0.0,213300000.0,0.0,0.023894190371801374
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,0,3,0,0,947292.3841954037,114324702.95561081,0.0,0.0,0.0005218172400809455
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,37200404.86952531,22167818.0,121200000.0,0.0,0.04432707363684786
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2652357.2751003494,6320800.0,455700000.0,0.0,0.0022961437816648926
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,65357066.61904849,22167818.0,30700000.0,0.0,0.055649047126069315
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74737475.47524527,20299287.0,30700000.0,0.0,0.0914858216129714
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50697110.485669225,22167818.0,61400000.0,0.0,0.03884186111542637
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15158813.908283824,22167818.0,273100000.0,0.0,0.012001756986043034
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4894279.330235795,0.0,455700000.0,0.0,0.0033817029545794297
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13901392.851832759,25037214.086173728,213300000.0,0.0,0.013463032487471684
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,32296909.31424576,49235246.0,30700000.0,0.0,0.024026644945362035
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,34914822.36491832,49235246.0,0.0,0.0,0.03159027865073389
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,40965402.46433352,24198032.0,0.0,0.0,0.03660258228972856
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,22735291.191111717,47205032.0,61400000.0,0.0,0.015564590250257533
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21510818.51444804,20299287.0,213300000.0,0.0,0.01596491026027439
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25149945.583667625,22167818.0,151900000.0,0.0,0.02031655598804565
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13044390.22370209,20299287.0,303800000.0,0.0,0.009418116437880902
