0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs,Expected Annual Costs,Scenario
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,14685292.470748428,87948499.20840034,351800000.0,0.0,0.0115304451179903,439748499.20840037,14685292.470748428,Medium_0
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,8,0,0,0.0,108892859.25907002,261300000.0,0.0,0.0,370192859.25907004,0.0,Medium_0
0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,7870232.573739991,92972783.10000265,351800000.0,0.0,0.0045355784575643,444772783.10000265,7870232.573739991,Medium_0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,14373580.60081955,91545495.75182983,261300000.0,0.0,0.0093940444035313,352845495.75182986,14373580.60081955,Medium_0
0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,10071034.569590269,87948499.20840034,382500000.0,0.0,0.006789621550136,470448499.20840037,10071034.569590269,Medium_0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,7,0,0,12536013.994976362,119897674.84273624,199900000.0,0.0,0.0129801956753517,319797674.84273624,12536013.994976362,Medium_0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,8,0,0,4217641.454740047,108892859.25907002,230600000.0,0.0,0.0081036935758427,339492859.25907004,4217641.454740047,Medium_0
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,16365305.183040522,96569779.64343216,230600000.0,0.0,0.0152082437412544,327169779.64343214,16365305.183040522,Medium_0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,18950918.57986209,91545495.75182983,230600000.0,0.0,0.0141248373692977,322145495.75182986,18950918.57986209,Medium_0
0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,6,0,0,7,0,0,0.0,104622671.10701786,351800000.0,0.0,0.0,456422671.1070179,0.0,Medium_0
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,6,0,0,9904605.024327649,92787283.41738686,351800000.0,0.0,0.0088514183484775,444587283.4173869,9904605.024327649,Medium_0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,7,0,0,6083732.676692088,101731408.4704048,261300000.0,0.0,0.0037040561488247,363031408.4704048,6083732.676692088,Medium_0
1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,6,0,0,3089545.1273192107,97811567.30898917,351800000.0,0.0,0.0018565516880514,449611567.30898917,3089545.1273192107,Medium_0
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,20967213.662459668,79975111.91627805,455700000.0,0.0,0.0182841993364612,535675111.91627806,20967213.662459668,Medium_0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,7,0,0,6886809.339008807,98080700.9028919,230600000.0,0.0,0.0070988646692307,328680700.9028919,6886809.339008807,Medium_0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,7,0,0,8295905.591092351,96707124.5788025,261300000.0,0.0,0.005980625103985,358007124.57880247,8295905.591092351,Medium_0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,6,0,0,19126410.455059268,120767812.09479354,169200000.0,0.0,0.014472487899792,289967812.09479356,19126410.455059268,Medium_0
1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,7,0,0,2214545.953969085,99598387.21541557,382500000.0,0.0,0.002266968375531,482098387.2154156,2214545.953969085,Medium_0
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,12161407.686419284,96569779.64343216,261300000.0,0.0,0.007117475448371,357869779.64343214,12161407.686419284,Medium_0
1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,17755422.887390688,83375205.4886666,382500000.0,0.0,0.014511753353119,465875205.4886666,17755422.887390688,Medium_0
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,4,0,0,0,0,0,14066506.299254904,116079320.26998109,419100000.0,0.0,0.0117306120531251,535179320.2699811,14066506.299254904,Medium_1
1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,2,0,0,0,0,0,5,0,0,0,0,0,10968994.901607145,107859693.54470985,442300000.0,0.0,0.0105081644459177,550159693.5447098,10968994.901607145,Medium_1
0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,19048349.07444219,110268613.44666576,382500000.0,0.0,0.0115984030308159,492768613.44666576,19048349.07444219,Medium_1
0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,19048349.07444219,121836016.81430492,351800000.0,0.0,0.0115984030308159,473636016.81430495,19048349.07444219,Medium_1
1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,19048349.07444219,98587612.91408443,436400000.0,0.0,0.0115984030308159,534987612.91408443,19048349.07444219,Medium_1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,3,0,0,0,0,0,21428383.260933235,105244329.55506344,382500000.0,0.0,0.0138682823120445,487744329.5550634,21428383.260933235,Medium_1
