0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs,Expected Annual Costs,Scenario
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,4220976.57008469,97804461.84366246,176700000.0,0.0,0.0085748960707086,274504461.84366244,4220976.57008469,Favourable_0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2713660.68243602,95323250.0,182600000.0,0.0,0.002398873872486,277923250.0,2713660.68243602,Favourable_1
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3490520.085471729,26620087.93698693,334500000.0,0.0,0.0027431368505516,361120087.9369869,3490520.085471729,Favourable_1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,3655111.150108989,98096546.41246957,61400000.0,0.0,0.0029280351539544,159496546.41246957,3655111.150108989,Favourable_1
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0.0,96228015.84098648,213300000.0,0.0,0.0,309528015.8409865,0.0,Favourable_1
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2679603.2339162026,55209597.81449771,213300000.0,0.0,0.0023418015998076,268509597.8144977,2679603.2339162026,Favourable_1
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,844004.7268938131,66733740.460234046,303800000.0,0.0,0.0004396490274992,370533740.46023405,844004.7268938131,Favourable_1
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2665980.2545082765,27631367.846842468,334500000.0,0.0,0.0023189726907362,362131367.84684247,2665980.2545082765,Favourable_1
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2572413.693191558,92443439.85640624,213300000.0,0.0,0.0013484744900175,305743439.8564062,2572413.693191558,Favourable_1
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,844004.7268938131,73337248.43252543,273100000.0,0.0,0.0004396490274992,346437248.4325254,844004.7268938131,Favourable_1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,947292.3841954035,96228015.84098648,92100000.0,0.0,0.0005218172400809,188328015.8409865,947292.3841954035,Favourable_1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,844004.7268938131,75542595.52347049,242400000.0,0.0,0.0004396490274992,317942595.5234705,844004.7268938131,Favourable_1
