0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs,Expected Annual Costs,Scenario
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,7,0,0,3,0,0,24698680.01952991,129740915.28753877,315200000.0,0.0,0.0179215211845588,444940915.28753877,24698680.01952991,Unfavourable_0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1,0,0,0,0,0,34703646.936928995,93900935.64819968,345900000.0,0.0,0.0172770232295485,439800935.6481997,34703646.936928995,Unfavourable_0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,4,0,0,7,0,0,1,0,0,0,0,0,34703646.936928995,136192441.30257598,176700000.0,0.0,0.0172770232295485,312892441.30257595,34703646.936928995,Unfavourable_0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,1,0,0,0,0,0,31534197.95458106,99952464.0,345900000.0,0.0,0.0149474480753965,445852464.0,31534197.95458106,Unfavourable_0
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,1,0,0,0,0,0,34806755.55723537,103015941.14096496,315200000.0,0.0,0.0173754547785914,418215941.140965,34806755.55723537,Unfavourable_0
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,5,0,0,8,0,0,0,0,0,0,0,0,15273616.228763573,129390041.92546064,297900000.0,0.0,0.0077957459854319,427290041.92546064,15273616.228763573,Unfavourable_1
0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,15393897.235492408,110260123.8096867,351800000.0,0.0,0.0079121769643771,462060123.8096867,15393897.235492408,Unfavourable_1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,33075152.791130204,110260123.8096867,230600000.0,0.0,0.0180849849830105,340860123.8096867,33075152.791130204,Unfavourable_1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,30067176.18575972,106654154.81068204,261300000.0,0.0,0.0156683512267963,367954154.81068206,30067176.18575972,Unfavourable_1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,15273616.228763573,96695140.83129872,382500000.0,0.0,0.0077957459854319,479195140.8312987,15273616.228763573,Unfavourable_1
0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,21098910.73464541,100019154.30131644,351800000.0,0.0,0.012416472894011,451819154.30131644,21098910.73464541,Unfavourable_1
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,30067176.18575972,117530470.64053048,230600000.0,0.0,0.0156683512267963,348130470.64053047,30067176.18575972,Unfavourable_1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,1,0,0,0,0,0,9878526.84546218,103015941.14096496,382500000.0,0.0,0.0055201083180735,485515941.140965,9878526.84546218,Unfavourable_1
0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,9,0,0,1,0,0,0,0,0,15703821.35134402,106339954.61098269,351800000.0,0.0,0.0101408352266526,458139954.61098266,15703821.35134402,Unfavourable_1
