discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1.5,4.5,4.5,95,173.26855645606764,0.8486235573330415,1.0,39.41187312687509,0.8305625486065875,1.0,270.4168166386071,0.7135391314602461,10.0,78.40304051904113,0.6725017627649926,1.5,219.4738782765471,0.3046032358647531,10.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_0,policy_8,dikesnet,105576499.03514121,96695140.83129871,382500000.0,0.0,0.10415340560991272
2.5,3.5,3.5,32,328.1774497215398,0.5490109313567406,1.0,217.50817805143345,0.713645735364628,10.0,218.96592720611355,0.4725450884797787,10.0,85.75650541075778,0.8464916876859608,1.5,186.3507410300858,0.4362338396231895,1.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_1,policy_8,dikesnet,79660170.87067293,96695140.83129871,382500000.0,0.0,0.08071628171514249
3.5,1.5,1.5,33,189.6771391057325,0.1176416677392111,1.5,322.89092497237044,0.3153919945964643,10.0,50.23037458109281,0.9350032019838712,10.0,301.4985704539259,0.562678172543837,1.0,121.64553267550248,0.3431234482714246,1.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_2,policy_8,dikesnet,235667189.87130237,96695140.83129871,382500000.0,0.0,0.16405359620582285
4.5,2.5,1.5,30,168.0163577955521,0.1897380448649508,1.0,71.151721593487,0.4914546218103066,10.0,332.5917236668674,0.8034625337604324,1.0,78.9341269711222,0.8776832044698525,1.0,89.55653589366509,0.3532615336116159,1.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_3,policy_8,dikesnet,133340944.66445571,96695140.83129871,382500000.0,0.0,0.11766660660441322
3.5,3.5,4.5,36,212.29117313853183,0.9988731155694512,10.0,312.5862203164981,0.5040019718708199,1.5,325.6594717547335,0.0467687963857942,1.5,179.74432832863027,0.6171816629906351,1.0,72.40849705384386,0.1785852707835329,10.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_4,policy_8,dikesnet,155179347.8930135,96695140.83129871,382500000.0,0.0,0.1767259624226548
4.5,2.5,4.5,24,278.5940164753931,0.8390536784586499,10.0,245.09729023739945,0.5384637121418322,10.0,319.8331912987076,0.0426307712973824,10.0,130.27856712492255,0.5270829492789345,1.5,226.9839560131243,0.1375881532583395,1.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_5,policy_8,dikesnet,286638017.48936534,96695140.83129871,382500000.0,0.0,0.315087025607807
1.5,1.5,1.5,77,84.32910115335639,0.3398113902278282,10.0,139.07534550391094,0.074415574761376,1.5,242.61849778236976,0.1250658765210276,1.0,159.99786759382056,0.919296656040048,1.5,122.75452999419664,0.3832751251018265,10.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_6,policy_8,dikesnet,122333794.25185925,96695140.83129871,382500000.0,0.0,0.0837651626551491
1.5,1.5,4.5,73,41.47287009395778,0.2507484542291223,1.5,322.9961583322968,0.0498781061874374,1.5,252.62234389048808,0.018045313955021,10.0,40.86330620566044,0.8216118057189424,1.5,311.91130397868915,0.0369375984367124,1.0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_7,policy_8,dikesnet,701201125.9794347,96695140.83129871,382500000.0,0.0,0.5431119665496439
1.5,2.5,2.5,58,150.65611267864082,0.1506430439342506,1.5,197.36519662085672,0.0216965102965955,10.0,345.95290337775003,0.0419846088799999,1.0,227.78910539550824,0.1040169902135586,1.0,109.85434765481465,0.8896020922688048,1.5,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_8,policy_8,dikesnet,179835658.6019854,96695140.83129871,382500000.0,0.0,0.09376220703769199
2.5,1.5,1.5,124,38.55108293557308,0.3251617272422235,1.0,34.472677495667035,0.2786346169367482,10.0,161.9849055407248,0.0305363969690847,10.0,256.4406067473709,0.954090280536877,10.0,339.6211924511982,0.708543892854832,1.5,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,scenario_9,policy_8,dikesnet,50633822.03042894,96695140.83129871,382500000.0,0.0,0.03771225580220822
