,Policy 6 (Seed 20),Policy 8 (Seed 20),Policy 7 (Seed 21),Policy 8 (Seed 21)
0_RfR 0,0,1,0,0
0_RfR 1,1,0,0,1
0_RfR 2,1,1,1,1
1_RfR 0,0,0,0,0
1_RfR 1,0,0,0,0
1_RfR 2,0,0,0,0
2_RfR 0,1,1,1,1
2_RfR 1,0,1,1,1
2_RfR 2,1,1,1,0
3_RfR 0,0,0,1,0
3_RfR 1,0,0,0,0
3_RfR 2,1,1,0,0
4_RfR 0,0,0,0,0
4_RfR 1,0,0,0,0
4_RfR 2,0,0,0,0
EWS_DaysToThreat,0,0,0,0
A.1_DikeIncrease 0,0,0,1,0
A.1_DikeIncrease 1,0,0,0,0
A.1_DikeIncrease 2,0,0,0,0
A.2_DikeIncrease 0,6,5,5,7
A.2_DikeIncrease 1,0,0,0,0
A.2_DikeIncrease 2,0,0,0,0
A.3_DikeIncrease 0,10,9,8,10
A.3_DikeIncrease 1,0,0,0,0
A.3_DikeIncrease 2,0,0,0,0
A.4_DikeIncrease 0,0,0,0,0
A.4_DikeIncrease 1,0,0,0,0
A.4_DikeIncrease 2,0,0,0,0
A.5_DikeIncrease 0,0,0,0,0
A.5_DikeIncrease 1,0,0,0,0
A.5_DikeIncrease 2,0,0,0,0
