epsilon_progress,nfe
0,0
26,100
182,1100
342,2100
492,3100
596,4100
697,5100
793,6100
863,7100
925,8100
985,9100
1021,10507
1139,11859
1208,13211
1272,14563
1317,15915
1360,17267
1393,18619
1411,19971
1435,21323
1452,22675
1463,24027
1479,25379
1497,26731
1518,28083
1529,29435
1540,30787
1548,32139
1556,33491
1566,34843
1577,36195
1587,37547
1593,38899
1602,40251
1604,41603
1605,42955
1611,44307
1620,45659
1627,47011
1635,48363
1641,49715
1644,51067
1647,52419
1649,53771
1652,55123
1657,56475
1659,57827
1660,59179
1663,60531
1667,61883
1667,63235
1670,64587
1675,65939
1679,67291
1680,68643
1683,69995
1686,71347
1688,72699
1689,74051
1689,75403
1692,76755
1694,78107
1695,79459
1697,80811
1698,82163
1701,83515
1703,84867
1704,86219
1704,87571
1706,88923
1706,90275
1709,91627
1709,92979
1711,94331
1714,95683
1714,97035
1715,98387
1718,99739
1719,101091
1719,102443
1719,103795
1719,105147
1721,106499
1721,107851
1721,109203
1722,110555
1722,111907
1724,113259
1725,114611
1726,115963
1726,117315
1726,118667
1728,120019
1728,121371
1729,122723
1729,124075
1729,125427
1729,126779
1729,128131
1730,129483
1730,130835
1731,132187
1733,133539
1734,134891
1734,136243
1734,137595
1734,138947
1734,140299
1734,141651
1734,143003
1734,144355
1734,145707
1735,147059
1735,148411
1735,149763
1736,150439
