epsilon_progress,nfe
0,0
40,100
259,1100
455,2100
613,3100
730,4100
824,5100
903,6100
992,7100
1048,8100
1109,9100
1154,10765
1264,11785
1353,12805
1435,13825
1512,14845
1580,15865
1647,16885
1710,17905
1783,18925
1848,19945
1907,20965
1968,21985
2033,23005
2095,24025
2156,25045
2202,26065
2265,27085
2309,28105
2360,29125
2400,30145
2450,31165
2518,32185
2560,33205
2613,34225
2667,35245
2723,36265
2776,37285
2828,38305
2876,39325
2925,40345
2965,41365
3025,42385
3066,43405
3100,44425
3139,45445
3179,46465
3216,47485
3255,48505
3285,49525
3320,50545
3355,51565
3404,52585
3430,53605
3462,54625
3491,55645
3527,56665
3556,57685
3583,58705
3617,59725
3635,60745
3659,61765
3677,62785
3702,63805
3725,64825
3753,65845
3772,66865
3799,67885
3830,68905
3858,69925
3882,70945
3906,71965
3936,72985
3961,74005
3981,75025
3995,76045
4014,77065
4032,78085
4055,79105
4069,80125
4093,81145
4107,82165
4120,83185
4143,84205
4157,85225
4178,86245
4191,87265
4205,88285
4223,89305
4234,90325
4248,91345
4268,92365
4286,93385
4295,94405
4311,95425
4323,96445
4343,97465
4356,98485
4367,99505
4378,100525
4385,101545
4399,102565
4413,103585
4426,104605
4438,105625
4454,106645
4460,107665
4478,108685
4494,109705
4509,110725
4525,111745
4536,112765
4536,115048
4659,118092
4756,121136
4851,124180
4915,127224
4983,130268
5048,133312
5109,136356
5158,139400
5208,142444
5245,145488
5283,148532
5322,151576
