epsilon_progress,nfe
0,0
30,100
111,1100
213,2100
336,3100
443,4100
544,5100
606,6100
645,7100
656,8100
669,9100
678,10276
725,11380
747,12484
752,13588
764,14692
771,15796
774,16900
780,18004
782,19108
786,20212
788,21316
790,22420
792,23524
793,24628
793,25732
796,26836
799,27940
801,29044
801,30148
802,31252
804,32356
804,33460
805,34564
807,35668
807,36772
807,37876
807,38980
807,40084
808,41188
810,42292
810,43396
811,44500
812,45604
812,46708
812,47812
815,48916
816,50020
816,51124
817,52228
818,53332
818,54436
818,55540
818,56644
818,57748
818,58852
819,59956
819,61060
820,62164
820,63268
820,64372
820,65476
820,66580
820,67684
820,68788
820,69892
820,70996
820,72100
820,73204
820,74308
820,75412
820,76516
820,77620
820,78724
820,79828
821,80932
821,82036
822,83140
822,84244
822,85348
822,86452
822,87556
822,88660
822,89764
822,90868
822,91972
822,93076
822,94180
822,95284
822,96388
822,97492
822,98596
822,99700
822,100804
822,101908
822,103012
822,104116
822,105220
822,106324
822,107428
822,108532
822,109636
822,110740
822,111844
822,112948
822,114052
822,115156
822,116260
822,117364
822,118468
822,119572
822,120676
822,121780
822,122884
822,123988
822,125092
822,126196
822,127300
822,128404
822,129508
822,130612
822,131716
822,132820
822,133924
822,135028
822,136132
822,137236
822,138340
822,139444
822,140548
822,141652
822,142756
822,143860
822,144964
822,146068
822,147172
822,148276
822,149380
822,150116
