epsilon_progress,nfe
0,0
38,100
183,1100
350,2100
496,3100
615,4100
719,5100
824,6100
895,7100
956,8100
1007,9100
1046,10558
1222,12046
1349,13534
1453,15022
1545,16510
1624,17998
1699,19486
1756,20974
1821,22462
1879,23950
1933,25438
1975,26926
2008,28414
2045,29902
2083,31390
2102,32878
2135,34366
2165,35854
2184,37342
2206,38830
2224,40318
2242,41806
2259,43294
2276,44782
2292,46270
2310,47758
2325,49246
2335,50734
2345,52222
2357,53710
2375,55198
2384,56686
2395,58174
2403,59662
2418,61150
2423,62638
2432,64126
2442,65614
2455,67102
2460,68590
2467,70078
2474,71566
2479,73054
2485,74542
2493,76030
2501,77518
2509,79006
2514,80494
2521,81982
2524,83470
2526,84958
2526,86029
2556,87457
2579,88885
2592,90313
2601,91741
2612,93169
2628,94597
2635,96025
2641,97453
2649,98881
2653,100309
2656,101737
2663,103165
2669,104593
2673,106021
2678,107449
2681,108877
2686,110305
2691,111733
2696,113161
2699,114589
2702,116017
2708,117445
2710,118873
2713,120301
2714,121729
2719,123157
2722,124585
2724,126013
2726,127441
2730,128869
2733,130297
2735,131725
2736,133153
2737,134581
2740,136009
2741,137437
2745,138865
2750,140293
2751,141721
2753,143149
2754,144577
2755,146005
2757,147433
2761,148861
2764,150289
