epsilon_progress,nfe
0,0
40,100
199,1100
388,2100
517,3100
640,4100
760,5100
857,6100
940,7100
994,8100
1044,9100
1078,10726
1277,12662
1451,14598
1591,16534
1714,18470
1851,20406
1970,22342
2078,24278
2192,26214
2280,28150
2357,30086
2428,32022
2515,33958
2586,35894
2651,37830
2731,39766
2801,41702
2852,43638
2906,45574
2949,47510
2990,49446
3030,51382
3067,53318
3102,55254
3132,57190
3161,59126
3195,61062
3216,62998
3245,64934
3271,66870
3300,68806
3330,70742
3351,72678
3373,74614
3391,76550
3406,78486
3431,80422
3449,82358
3466,84294
3487,86230
3499,88166
3507,90102
3520,92038
3530,93974
3544,95910
3554,97846
3572,99782
3582,101718
3599,103654
3611,105590
3624,107526
3624,109458
3712,112034
3765,114610
3826,117186
3882,119762
3918,122338
3949,124914
3973,127490
3996,130066
4015,132642
4042,135218
4060,137794
4073,140370
4092,142946
4112,145522
4127,148098
4143,150674
