0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,2,0,0,0,1248045895.4947522,74248543.05200626,84600000.0,0.0,0.7990240107463008
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1289199248.6633928,31398797.71871161,115300000.0,0.0,0.7863146968474775
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,5,0,0,9,0,0,3,0,1,0,0,0,254153045.79019684,157755223.02122936,61400000.0,0.0,0.1189575919292589
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,6,0,0,2,0,0,0,0,0,1201342703.9881008,71425779.03239532,115300000.0,51808.66810407546,0.09093867517483459
0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,7,0,0,10,0,0,3,0,0,0,0,0,72168688.12134677,125983878.33713852,1118400000.0,0.0,0.02684881616354027
1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,9,0,0,6,0,0,7,0,0,98907304.81143513,156799125.8452342,297900000.0,0.0,0.05351356433237571
1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,3,0,0,0,8,0,0,9,0,0,9,0,3,5,0,0,0.0,188145544.4323758,503700000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,7,7,0,10,6,0,10,4,3,6,3,3,41876891.49396427,585016420.7868315,0.0,0.0,0.050266890143171844
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,7,0,0,10,0,0,4,0,0,0,0,0,123060563.61327352,127225666.00269552,297900000.0,4042.7488997214405,0.007211166388459317
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,2,0,0,0,0,0,270892016.83416873,94912215.55805522,297900000.0,0.0,0.12287505427664044
0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,4,0,0,8,0,0,10,0,0,8,2,0,5,0,0,320266.5476199844,235719217.65730834,388400000.0,12.368815156312353,2.045815784058027e-05
