epsilon_progress,nfe
0,0
31,100
271,1100
476,2100
630,3100
739,4100
836,5100
931,6100
1001,7100
1052,8100
1099,9100
1159,10723
1377,12651
1529,14579
1650,16507
1760,18435
1874,20363
1976,22291
2085,24219
2166,26147
2257,28075
2338,30003
2424,31931
2499,33859
2561,35787
2637,37715
2700,39643
2755,41571
2799,43499
2843,45427
2879,47355
2915,49283
2954,51211
2986,53139
3017,55067
3044,56995
3076,58923
3103,60851
3126,62779
3150,64707
3171,66635
3187,68563
3206,70491
3227,72419
3241,74347
3255,76275
3267,78203
3277,80131
3291,82059
3305,83987
3316,85915
3326,87843
3337,89771
3352,91699
3361,93627
3371,95555
3381,97483
3387,99411
3394,101339
3408,103267
3418,105195
3420,107123
3420,108836
3467,111120
3505,113404
3547,115688
3582,117972
3611,120256
3628,122540
3641,124824
3657,127108
3664,129392
3680,131676
3684,133960
3698,136244
3708,138528
3712,140812
3718,143096
3726,145380
3737,147664
3742,149948
3748,152232
