epsilon_progress,nfe
0,0
37,100
239,1100
408,2100
556,3100
677,4100
771,5100
846,6100
921,7100
970,8100
1014,9100
1056,10627
1218,12299
1321,13971
1416,15643
1492,17315
1576,18987
1633,20659
1699,22331
1738,24003
1791,25675
1838,27347
1883,29019
1914,30691
1952,32363
1982,34035
2007,35707
2029,37379
2053,39051
2069,40723
2087,42395
2101,44067
2116,45739
2143,47411
2158,49083
2174,50755
2187,52427
2199,54099
2210,55771
2218,57443
2227,59115
2238,60787
2244,62459
2255,64131
2263,65803
2272,67475
2278,69147
2287,70819
2291,72491
2295,74163
2301,75835
2311,77507
2315,79179
2322,80851
2325,82523
2331,84195
2337,85867
2342,87539
2344,89211
2348,90883
2352,92555
2356,94227
2366,96313
2372,97505
2378,98697
2383,99889
2388,101081
2397,102273
2404,103465
2406,104657
2408,105849
2412,107041
2414,108233
2417,109425
2423,110617
2424,111809
2425,113001
2429,114193
2430,115385
2432,116577
2436,117769
2437,118961
2440,120153
2441,121345
2441,122537
2443,123729
2444,124921
2446,126113
2447,127305
2448,128497
2449,129689
2450,130881
2451,132073
2452,133265
2456,134457
2457,135649
2459,136841
2461,138033
2464,139225
2466,140417
2469,141609
2470,142801
2470,143993
2470,145185
2470,146377
2471,147569
2472,148761
2473,149953
2475,151145
