0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,10,0,0,6,0,1,6,0,0,0.0,196912759.98486575,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1278929092.408838,24198032.45136138,0.0,0.0,2.1741565796233755
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,17346691.488910854,69643919.67047566,267200000.0,0.0,0.017744943040518907
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1008661224.157461,20299287.62732069,61400000.0,0.0,1.630248658322056
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,630427953.8716564,26403379.542306438,0.0,0.0,1.0089936143989713
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626220691.3043697,0.0,213300000.0,0.0,0.990652519897818
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906407124.3988798,0.0,61400000.0,0.0,3.155170748057431
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416675800.058619,0.0,419100000.0,0.0,0.6918045614527452
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,269186104.767614,20299287.62732069,176700000.0,0.0,0.44287823066819465
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,105390775.02235855,24198032.45136138,176700000.0,0.0,0.16042437907093646
0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198538460.09325653,0.0,796400000.0,0.0,0.3192039327734221
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479784934.71124935,0.0,334500000.0,0.0,0.7398337913637829
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970780151.8983536,0.0,30700000.0,0.0,3.279973873270402
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,232503385.30557373,20299287.62732069,213300000.0,0.0,0.32187952202925385
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,3,0,0,810688.4119775341,118736587.65346888,176700000.0,0.0,0.0005306185194418067
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,3,0,0,7973309.537601979,112415787.34380263,146000000.0,0.0,0.005960968514655818
0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,169394250.65294343,20299287.62732069,297900000.0,0.0,0.2738502921182161
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,110007712.30840194,26403379.542306438,115300000.0,0.0,0.12921092966999018
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900430857.9873182,0.0,92100000.0,0.0,1.4559495225763115
0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,10049573.949180592,99254427.47638313,267200000.0,279.4052789408937,0.0037246598709461303
1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0.0,79241497.28181171,509600000.0,0.0,0.0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837321723.3346878,0.0,176700000.0,0.0,1.4079202926652736
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,158449918.0176772,24198032.45136138,146000000.0,0.0,0.24105636831410251
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,57840838.52211599,31398797.71871161,146000000.0,0.0,0.05734144173233594
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321141589.9657338,0.0,455700000.0,0.0,0.46867418656560667
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258032455.31310356,0.0,540300000.0,0.0,0.42064495665456886
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,74716625.80714038,59098280.63646837,92100000.0,0.0,0.08422937291868401
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,171419743.0484379,31398797.71871161,0.0,0.0,0.15597908095167468
