epsilon_progress,nfe
0,0
42,100
278,1100
480,2100
649,3100
766,4100
845,5100
929,6100
992,7100
1037,8100
1084,9100
1111,10651
1305,12387
1443,14123
1556,15859
1675,17595
1785,19331
1883,21067
1988,22803
2088,24539
2166,26275
2253,28011
2328,29747
2398,31483
2445,33219
2489,34955
2532,36691
2578,38427
2613,40163
2642,41899
2671,43635
2703,45371
2738,47107
2765,48843
2790,50579
2811,52315
2830,54051
2849,55787
2865,57523
2885,59259
2902,60995
2926,62731
2947,64467
2964,66203
2975,67939
2986,69675
2997,71411
3008,73147
3021,74883
3042,76619
3055,78355
3072,80091
3084,81827
3099,83563
3105,85299
3114,87035
3132,88771
3140,90507
3155,92243
3166,93979
3175,95715
3184,97451
3184,99191
3253,101511
3318,103831
3370,106151
3411,108471
3447,110791
3481,113111
3509,115431
3533,117751
3559,120071
3573,122391
3588,124711
3602,127031
3619,129351
3633,131671
3647,133991
3667,136311
3684,138631
3701,140951
3712,143271
3728,145591
3738,147911
3750,150231
