0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3669251425.782808,0.0,61400000.0,0.0,2.2400225732800494
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5924645471.5202465,0.0,0.0,0.0,5.1972377067607844
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3927747799.169912,22167818.198803753,0.0,0.0,2.3713154547146815
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4433522021.309519,0.0,30700000.0,0.0,3.231397516968187
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497992244.667515,0.0,199900000.0,0.0,2.7947090308086517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398023919.771051,42291505.65437629,0.0,0.0,3.946108633537122
0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,8,0,0,7,0,0,4,4,0,0,1,0,5026276.240785398,161321234.11344826,690800000.0,119.10647898857286,0.0011820489415711967
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,8,0,0,9,0,0,7,6,4,6,0,0,21370316.07135563,275490399.81301,0.0,1015.3387285367685,0.0022381393293741244
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3255043971.8160334,0.0,169200000.0,0.0,3.8559572787201595
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4250507011.137824,20299287.62732069,0.0,0.0,2.8280701756911757
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1107615721.3220456,70015766.160258,30700000.0,0.0,0.8329849743682117
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971489488.1266847,0.0,230600000.0,0.0,2.0583480836520227
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,6,0,0,8,0,0,8,0,0,7,4,5,0,0,0,8276183.194133766,221825639.55335793,151900000.0,393.80551968348885,0.0008627123813300977
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,6,0,0,3,1,0,0,0,0,130102214.555977,112888464.2243531,169200000.0,2704.44348775478,0.04138080615891088
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,557791523.4121902,74246079.10540655,199900000.0,0.0,0.3888430522694484
