0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,3,0,4,10,6,0,9,6,6,6,7,2,6,2,4,0.0,581292975.4274857,644500000.0,0.0,0.0
1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,4,5,1,6,6,1,0,7,4,3,4,3,2,1,0,4,5962748.265941329,470600325.78408504,1378100000.0,367.40156935894856,0.0005851860588472406
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,4,9,1,1,8,0,7,1,2,2,6,1,0,24033563.652465153,512083149.68989867,502300000.0,0.0,0.009211753779809194
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,5,9,0,4,7,8,0,6,1,1,1,3,4,45397772.56075494,468493072.19190586,267200000.0,0.0,0.031165261510071447
0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,8,1,7,10,10,10,4,9,9,9,3,2,4,4,1,0.0,925533004.815286,419100000.0,0.0,0.0
1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4,4,0,5,6,3,4,3,1,7,2,7,6,6,3,10424067.952815948,566918620.5310466,351800000.0,0.0,0.010668955596536666
1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,3,7,2,1,7,6,0,7,3,3,4,2,1,5,3,4,3206159.4795141006,557148448.9546306,631100000.0,123.67416813928675,0.00033613408603863615
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,6,3,3,1,7,4,2,9,7,7,7,2,0,0,3,157496660.68779045,543075514.4210615,182600000.0,8800.589802496328,0.013639949978947392
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,3,0,1,1,4,0,0,6,3,4,1,7,7,4,2,1,68745139.44530351,351875340.86768657,807000000.0,3104.1058926656733,0.006029342024005444
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0,9,10,0,4,6,8,7,7,7,6,6,6,4,626901.6750617204,643304194.4771274,236500000.0,16.501514645265505,0.00012881413150090648
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,5,9,5,6,2,1,0,6,1,2,4,2,0,203442839.24279556,546409213.5634708,199900000.0,3569.285550379699,0.10081266715940301
1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,3,1,7,0,5,3,1,2,3,2,9,3,0,126393189.80219486,393709147.0914483,837700000.0,2586.9765467753164,0.029884061171357654
0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1,3,5,4,0,4,1,2,4,7,1,1,7,0,1,95861371.84982747,431387221.7202184,267200000.0,3790.685135337105,0.013786427495390873
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,2,5,7,0,5,7,2,7,2,2,9,1,0,36074155.85132907,521790492.89724785,340700000.0,1277.713894087422,0.004989070206438731
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,2,9,0,3,8,8,7,6,6,6,1,2,4,49627168.554579005,557744465.9420661,236500000.0,0.0,0.034984198788091406
0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,4,5,0,0,6,4,4,4,9,2,7,1,7,10,2,4,12358613.228211863,554763887.425238,351800000.0,503.44898182410066,0.0018014733243062653
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,8,2,7,7,7,0,7,6,2,7,1,1,6,0,3,335901.5279815364,602653808.4966941,371400000.0,13.493956435019237,3.0008246899107212e-05
1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,4,3,0,1,6,6,0,6,2,4,4,5,6,9,4,7,2492460.129960685,524423813.3681967,1420800000.0,117.73979405806007,0.00021722006416774012
1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,3,3,0,1,5,0,2,6,1,7,5,2,7,10,1,0,9297845.600452872,419041002.25991654,741100000.0,426.0810430813409,0.0009086596663472456
1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,4,9,2,1,7,3,6,1,2,2,7,0,1,7247898.852008136,535077838.0187491,623500000.0,0.0,0.00298915527682824
0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,7,1,0,5,5,3,4,4,1,7,2,7,7,6,2,2473365.654207112,569970061.6928385,515700000.0,0.0,0.0017834640554101019
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,7,6,2,4,2,4,5,2,4,3,4,6,0,3,96601141.04057774,576089569.6625068,115300000.0,4038.673816824515,0.007900473951923812
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,5,3,0,8,5,3,1,4,5,6,0,6,2,2,231467587.9307169,529235563.3581272,146000000.0,9928.12673828947,0.01921818268503747
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,3,1,3,1,10,7,2,7,0,1,5,5,7,6,2,4,0.0,613458382.2217721,485000000.0,0.0,0.0
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,2,5,5,1,6,4,9,8,9,2,4,4,2,2479730.4794583037,535422826.35885423,1626600000.0,0.0,0.0017923651040726806
0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,1,2,2,0,0,5,3,5,1,8,2,4,2,1,262235498.50119132,387442637.34128666,589200000.0,5725.245458890448,0.0690627667968044
1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,3,1,6,2,5,7,1,6,6,1,1,254132954.23930165,399870065.9996414,922300000.0,0.0,0.16887555992982572
1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,3,1,4,6,0,2,5,7,0,0,7,2,5,1,1,0,195097318.11328578,384027296.83076984,771800000.0,8768.624926478888,0.015786024988100757
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,5,5,1,0,2,8,0,3,1,4,3,1,2,4,246569737.79849076,422833576.3679457,334500000.0,3383.9515045309377,0.055706238928603935
1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,2,4,0,0,6,0,4,4,7,7,5,9,3,3,2,0,19217352.399791766,401158826.97020906,698400000.0,559.7378005369833,0.003530981926826298
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,6,3,0,2,6,1,6,2,1,4,5,6,2,0,4,67529936.1277403,463688717.0512012,351800000.0,1490.8579987639437,0.017524276739547484
0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,5,0,2,5,0,4,2,8,0,7,5,0,2,6,4,30297131.973237414,425204616.674765,469400000.0,957.1385165458194,0.005016853192094495
1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,5,8,1,1,4,3,6,0,2,0,7,0,2,30721251.954843342,495209311.00344545,442300000.0,0.0,0.025754330135526603
1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,3,4,1,3,5,2,5,5,3,0,0,1,4,7,0,2,26605621.607880913,473354015.8286021,600300000.0,1496.8614198091116,0.0013150481346150867
1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,1,7,5,3,6,3,9,0,1,1,2,7,0,5,0,25602976.842343688,493838200.27094746,388400000.0,1111.9562096980376,0.0019901741792504564
0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,4,0,0,4,5,6,3,6,0,5,7,3,4,6,5,4,5222999.607889609,493218343.2405733,739400000.0,247.64062732818655,0.00044979597453329695
1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,6,0,6,4,6,5,9,0,6,7,5,10,2,4,3120629.706899638,620260376.0752705,351800000.0,0.0,0.002658815781598484
1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,5,4,0,6,5,6,6,1,2,2,2,4,6,0,0,3841188.1015945384,495691415.31211257,1051100000.0,0.0,0.0023784033616226774
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,8,3,4,5,0,6,9,6,2,7,1,2,7,0,3,9297845.600452872,572648433.3783634,267200000.0,426.0810430813409,0.0009086596663472456
0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,3,1,3,5,0,0,8,7,7,7,1,6,6,3,1,14547861.892043844,474956302.5066582,523300000.0,0.0,0.011358245829340571
0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,3,1,0,7,7,6,0,9,5,7,7,4,3,6,3,3,0.0,551622131.5880258,765700000.0,0.0,0.0
1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,3,5,0,3,4,3,4,4,2,0,9,2,2,6,1,3,11513299.333973417,479329956.72360235,523300000.0,469.3928457166419,0.0009812496251295005
1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3,2,10,2,6,2,0,6,2,10,4,1,6,6,0,2,2524284.2562166383,535351723.835257,783000000.0,101.83523478888966,0.00022256069336528647
