epsilon_progress,nfe
0,0
42,100
217,1100
355,2100
485,3100
613,4100
719,5100
797,6100
885,7100
955,8100
1008,9100
1059,10633
1207,12321
1330,14009
1423,15697
1505,17385
1577,19073
1649,20761
1724,22449
1793,24137
1853,25825
1916,27513
1977,29201
2028,30889
2077,32577
2136,34265
2180,35953
2218,37641
2252,39329
2293,41017
2330,42705
2369,44393
2399,46081
2424,47769
2464,49457
2491,51145
2519,52833
2545,54521
2568,56209
2588,57897
2613,59585
2630,61273
2645,62961
2667,64649
2684,66337
2708,68025
2730,69713
2747,71401
2759,73089
2775,74777
2797,76465
2810,78153
2826,79841
2846,81529
2868,83217
2886,84905
2898,86593
2915,88281
2927,89969
2942,91657
2959,93345
2965,95033
2965,96884
3039,99352
3106,101820
3166,104288
3207,106756
3240,109224
3271,111692
3296,114160
3321,116628
3356,119096
3375,121564
3388,124032
3402,126500
3427,128968
3451,131436
3464,133904
3481,136372
3491,138840
3500,141308
3512,143776
3523,146244
3534,148712
3548,151180
3557,153648
3566,156116
3577,158584
3585,161052
3598,163520
3612,165988
3626,168456
3628,170924
3637,173392
3647,175860
3653,178328
3663,180796
3672,183264
3684,185732
3690,188200
3696,190668
3700,193136
3703,195604
3707,198072
3712,200540
3719,203008
3723,205476
3727,207944
3729,210412
3732,212880
3739,215348
3744,217816
3752,220284
3759,222752
3763,225220
3768,227688
3776,230156
3783,232624
3793,235092
3797,237560
3797,240028
3800,242496
3803,244964
3807,247432
3816,249900
3821,252368
