0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795068931.79388,0.0,0.0,0.0,0.5239323910077407
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605818424.7589269,0.0,61400000.0,0.0,0.3358697161861336
1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,9,2,0,7,0,0,0.0,160467148.8620858,485000000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,605101702.3615661,12586457.998778107,0.0,0.0,0.4569107759762695
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,461363138.8737443,12586457.998778107,30700000.0,0.0,0.30577123487073526
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,459470801.4238931,42390096.456326984,0.0,0.0,0.40362022901866584
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,362296323.35407996,40026981.31368371,30700000.0,0.0,0.2231514168580066
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307364263.73956466,0.0,146000000.0,0.0,0.16024537087214574
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,2,0,0,67504104.79479599,86207690.36261447,146000000.0,0.0,0.07017157984935175
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,5,4,0,4,0,0,20552899.471107047,133471295.83631173,146000000.0,537.8593487585002,0.004711000162583879
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653498671.7697742,0.0,30700000.0,0.0,0.3737985266221192
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,570659338.105484,8453407.696608048,30700000.0,0.0,0.3478432886720041
