0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,0,3,9,0,2,5,5,3,7,0,0,0.0,366234890.9595097,0.0,0.0,0.0
0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,94134374.2963807,70010517.76190385,419100000.0,3303.5887024838544,0.00730255936214455
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5222204371.88027,0.0,30700000.0,0.0,3.7342583176427215
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,6,0,0,5,0,0,6,3,0,7,0,0,1430689.2822282831,204256526.4933309,61400000.0,0.0,0.0011272724527672674
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,0,0,6,0,0,4,0,0,0,0,0,0,0,0,13082857.84540775,134739988.6367876,455700000.0,0.0,0.004915372032917503
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,6,0,0,7,0,0,4,2,0,3,0,0,5243992.825317579,190991694.16332418,151900000.0,229.60821745762104,0.0004966252851834977
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4096225563.5092726,20299287.62732069,30700000.0,0.0,2.272498607665189
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,309435101.2600232,83941274.4675716,84600000.0,0.0,0.23884759191769275
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5711890300.758306,20299287.62732069,0.0,0.0,4.123079760400169
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,0,5,1,0,7,0,0,21381541.69780034,155187874.30870366,230600000.0,784.3008186781789,0.003614149854479533
1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,31005150.645916797,79761953.14251733,594200000.0,0.0,0.018714397847413737
