0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,0,0,2,0,0,1,2,0,3,0,0,10637259.433356483,177380186.8526522,0.0,743.5917387079697,0.001530595825077306
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,26604415.9831689,103789624.76245701,61400000.0,0.0,0.026948146831140822
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558446297.4359758,42291505.65437629,30700000.0,0.0,1.4296815682288597
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,3,0,0,1,0,0,2,3,0,6,0,0,2619823.7994575086,185506051.2808317,30700000.0,234.9994862686521,0.0002507515373402687
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,1,0,0,3,0,1,4,0,0,21265995.534761067,137259970.20610636,0.0,1589.7489076170903,0.003467890557025041
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66829892.23027381,47847947.961454235,84600000.0,0.0,0.070541394486691
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,140645183.07920244,26620087.93698693,169200000.0,0.0,0.12802212487744574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,223401369.4259507,56301355.65806228,0.0,0.0,0.23003981528502737
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,1,2,0,7,0,0,26355012.49327842,150433972.9364717,0.0,0.0,0.032594282611301026
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89538359.58039418,42291505.65437629,84600000.0,0.0,0.09109567237291635
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2234030017.919906,0.0,0.0,0.0,2.0282033580858965
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,204235877.0987695,54168748.271120474,0.0,2535.3074618183673,0.07194171308107863
1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3076733.3364165016,49841661.23588018,624900000.0,230.93211107584727,0.0004953344101596724
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227560828.2504563,0.0,30700000.0,0.0,2.019573816649305
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51901357.844482265,48612305.96404253,146000000.0,1373.2893611909717,0.01802208630570018
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0,3,7,0,4,0,0,347825.7096148442,147738906.5591957,351800000.0,14.289709062639666,0.00010582086936780305
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167096034.6593504,37255203.23710208,115300000.0,3141.403521169913,0.0510823397811698
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974993043.4000309,0.0,84600000.0,0.0,1.7287827188205132
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87835983.8944638,53972506.18695759,30700000.0,5055.664561787267,0.012306400036977569
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970283073.0422096,0.0,115300000.0,0.0,1.7224222936423346
1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3092491.9223399665,12586457.998778107,806100000.0,0.0,0.00416860543014546
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2212692358.4851513,6320800.309666242,30700000.0,0.0,2.0100598675198
