0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360413779.4928254,0.0,92100000.0,0.0,0.3620423305930362
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466868713.57076716,0.0,61400000.0,0.0,0.47193477179480037
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,385347070.7345557,38245121.951764055,30700000.0,0.0,0.40038601619775843
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,188514331.09519702,38245121.951764055,176700000.0,0.0,0.19754070564325923
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,222134775.81761482,38245121.951764055,92100000.0,0.0,0.22681932213475461
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326793334.7704076,0.0,176700000.0,0.0,0.33276371410154093
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594068377.0314058,0.0,30700000.0,0.0,0.6050664433452805
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,317019746.2750851,38245121.951764055,61400000.0,0.0,0.32615621798894934
0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,27167865.530328922,53358573.6002109,357700000.0,0.0,0.03096101091553654
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,338020754.4553169,42818415.6714978,0.0,0.0,0.35885131642614404
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825244020.488221,0.0,0.0,0.0,0.841994430553802
1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267962507.9121311,0.0,297900000.0,0.0,0.27323568102862095
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326793334.7704076,32694901.094161935,92100000.0,0.0,0.33276371410154093
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,102312685.23755008,47842699.56310011,61400000.0,0.0,0.10538432663496636
0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5428188.940802399,59410102.93073928,419100000.0,0.0,0.00619603972140566
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,134692240.313075,47842699.56310011,30700000.0,0.0,0.1414998466781717
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7,0,0,3,0,0,1,0,2,4,0,0,0.0,177488924.35758775,30700000.0,0.0,0.0
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14012958.092192069,53358573.6002109,388400000.0,0.0,0.016035964494474537
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,68692240.51513225,47842699.56310011,146000000.0,0.0,0.07610571014347103
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,38877640.018128626,96396629.48248486,30700000.0,0.0,0.03495925468053896
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,98023212.65462221,53358573.6002109,30700000.0,0.0,0.10179856918899823
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,34855557.705946475,103666976.31332862,30700000.0,0.0,0.030169289026248786
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301582952.6345489,0.0,213300000.0,0.0,0.3025142975201163
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,1398910.5396621986,103666976.31332862,146000000.0,0.0,0.0009697674977683416
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,177602887.7910614,42818415.6714978,61400000.0,0.0,0.1847288711845266
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,236115762.96089295,42818415.6714978,30700000.0,0.0,0.24857163353476378
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,64402767.932204396,53358573.6002109,115300000.0,0.0,0.0725199526975029
