0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,5,0,0,2,0,0,12021171.452823237,125680437.69498932,30700000.0,0.0,0.013121466424684827
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,101074738.12889293,39852205.41531966,30700000.0,0.0,0.1570703166355086
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,8,0,0,5,0,0,2,0,0,20026489.345888883,118750455.22596692,61400000.0,618.3629560182986,0.008504927346707854
0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,26670382.48360602,38730877.93823339,590600000.0,817.975316637125,0.009530490196815813
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,4,0,0,3,0,0,33630287.76370827,118900894.72688624,0.0,0.0,0.04464974487699991
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,43362319.13533669,67712183.52110432,61400000.0,0.0,0.04847542327618624
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,6,0,0,4,0,0,0.0,134415325.48965245,146000000.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,10,0,0,6,3,0,4,0,0,0.0,153878717.25009096,30700000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,1,0,5,2,0,6,0,0,1936108.6005990447,198681539.3563156,0.0,0.0,0.005355635251785143
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,0,9,0,0,5,0,0,0,0,0,0.0,99520522.61993173,394300000.0,0.0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1833508882.0621114,7332080.219521779,61400000.0,0.0,3.2833530341092168
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1824706965.6639345,8453407.696608048,92100000.0,0.0,3.25843913275013
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1822507713.5481303,7332080.219521779,213300000.0,0.0,3.2522757107507863
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,10,0,0,5,0,0,3,0,0,7716844.195144825,138993891.69842717,0.0,298.0951033647343,0.0024100358633033147
0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,85861561.93007883,28798397.130608946,425000000.0,0.0,0.10876715073737109
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903927135.7268612,0.0,30700000.0,0.0,3.406295136449158
0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,122543599.01177552,24198032.45136138,455700000.0,0.0,0.173099479322828
