HET GROTE BELEIDSRESULTATEN EXCELLETJE (Resultaten op 1000 scenarios robustness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,,,,,,,
onze policy 7,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,4,0,0,5,0,0,3,0,0,2,0,0,,,,,,,
onze policy 9,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,6,0,0,4,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rijkswaterstaat policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWS 1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,7,0,0,8,0,0,,,,,,,
RWS 2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,7,0,0,8,0,0,,,,,,,
RWS 3,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,7,0,0,8,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW RWS  1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,
NEW RWS  2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,
NEW RWS  3,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back up RfR3 - 1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,3,0,0,3,0,0,6,0,0,4,0,0,,,,,,,
Back up RfR3 - 2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy Overijssel,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,5,0,0,4,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,Expected Annual Damage Mean,Expected Annual Damage Std,Expected Annual Damage CV,Expected Annual Damage Max Regret,Expected Annual Damage Mean Regret,Expected Annual Damage Rank Std,Dike Investment Costs Mean,Dike Investment Costs Std,Dike Investment Costs CV,Dike Investment Costs Max Regret,Dike Investment Costs Mean Regret,Dike Investment Costs Rank Std,RfR Investment Costs Mean,RfR Investment Costs Std,RfR Investment Costs CV,RfR Investment Costs Max Regret,RfR Investment Costs Mean Regret,RfR Investment Costs Rank Std,Evacuation Costs Mean,Evacuation Costs Std,Evacuation Costs CV,Evacuation Costs Max Regret,Evacuation Costs Mean Regret,Evacuation Costs Rank Std,Expected Number of Deaths Mean,Expected Number of Deaths Std,Expected Number of Deaths CV,Expected Number of Deaths Max Regret,Expected Number of Deaths Mean Regret,Expected Number of Deaths Rank Std,Total Costs Mean,Total Costs Std,Total Costs CV,Total Costs Max Regret,Total Costs Mean Regret,Total Costs Rank Std,Satisficing Count,Total Scenarios
policy 7,226367094.6,580481866,2.564338545,3209948537,129243170.1,0.854072854,118188608.4,2.98E-08,2.52E-16,78336402.98,78336402.98,0,351800000,0,0,236500000,236500000,0,6581.453521,10331.69525,1.569819679,80533.86564,6581.453521,2.089297529,0.019981238,0.04575503,2.289899597,0.194585731,0.006650709,0.471165573,696362284.4,580489575.9,0.833602837,3216063659,247763725.1,2.577094569,0,1000
policy 9,117240008.6,336251209.4,2.868058554,1422113235,20116084.11,1.382709979,118004306.6,0,0,78152101.16,78152101.16,0,345900000,0,0,230600000,230600000,0,2510.764824,4976.085549,1.981900296,52379.47715,2510.764824,2.426992025,0.038598067,0.097397752,2.523384192,0.922919645,0.025267537,1.156325252,581146825.9,336254744.3,0.578605491,1562599535,132548266.5,2.601488563,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy 7 run 2 (without 3_RfR 2),183274849.4,426696742.9,2.328179476,2269207992,149528421.1,1.571880023,118188608.4,2.98E-08,2.52E-16,1651023.635,1651023.635,0,351800000,0,0,236500000,236500000,0,5938.077093,9437.953706,1.589395617,73081.265,5938.077093,1.763492531,0.016677615,0.034519371,2.069802636,0.149121131,0.011132256,1.321433004,653269395.9,426703171.8,0.653181022,2434636101,266600500.8,1.491978888,0,1000
policy 9 run 2,100709115.5,259065018,2.572408829,2230495245,66962687.22,1.296014913,118004306.6,0,0,1466721.811,1466721.811,0,345900000,0,0,230600000,230600000,0,2280.881423,4444.154188,1.948437189,36660.44648,2280.881423,1.304719622,0.033982085,0.078789002,2.318545268,0.726285782,0.028436726,1.677809896,564615703,259068266,0.458839994,2289583506,177946807.9,1.169248537,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rijkswaterstaat policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWS 1,425281530.7,521332132.7,1.225851807,2688486718,391535102.4,1.278919323,116697859.7,4.47E-08,3.83E-16,160274.9059,160274.9059,0,115300000,0,0,0,0,0,22420.0558,26377.78293,1.176526194,114910.5895,22420.0558,0.841843037,0.07147559,0.094103155,1.316577512,0.339028422,0.065930232,1.157916997,657301810.5,521357232.1,0.793177843,2539664726,270632915.4,2.293171087,0,1000
RWS 2,272680421.4,403656656.4,1.48032871,2461735004,238933993.1,1.398354173,116697859.7,4.47E-08,3.83E-16,160274.9059,160274.9059,0,230600000,0,0,115300000,115300000,0,15053.27032,21680.18114,1.440230639,113584.1951,15053.27032,1.011184204,0.044208259,0.073022764,1.651790085,0.327193972,0.0386629,1.203870967,619993334.3,403677764.4,0.651100168,2440400090,233324439.2,1.583440015,0,1000
RWS 3,177382404.4,314692288.1,1.774089651,2437503746,143635976.1,1.410725397,116697859.7,4.47E-08,3.83E-16,160274.9059,160274.9059,0,345900000,0,0,230600000,230600000,0,9990.638086,17003.58515,1.701951868,104671.5756,9990.638086,1.12485746,0.027318097,0.055007556,2.013594041,0.311296309,0.021772738,1.180182965,639990254.8,314708945.6,0.491740215,2531468053,253321359.6,1.319537866,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back up RfR3 - 1,886061089.2,959490287.5,1.082871485,2958044317,852314660.9,2.525763941,118004306.6,0,0,1466721.811,1466721.811,0,455700000,0,0,340400000,340400000,0,5222.374464,5267.697843,1.008678692,35369.33827,5222.374464,2.03011955,0.223939517,0.234999075,1.049386362,0.560103382,0.218394158,2.385406918,1459770618,959495271.5,0.65729181,3170270543,1073101723,1.264008195,0,1000
Back up RfR3 - 2,346491834.9,602221817.3,1.738054859,2691526629,312745406.5,1.598386323,116537584.8,2.98E-08,2.56E-16,0,0,0,213300000,0,0,98000000,98000000,0,0,0,inf,0,0,0,0.258416625,0.417250155,1.614641301,1.983814477,0.252871266,1.213272859,676329419.6,602221817.3,0.890426765,2706714680,289660524.5,1.961975879,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy 7 run 3,186411201.6,429369087.1,2.303343809,2444281102,149981531,1.941217227,118188608.4,2.98E-08,2.52E-16,1701988.137,1701988.137,0,351800000,0,0,236500000,236500000,0,5907.187809,9074.015558,1.536097353,73074.23888,5907.187809,2.019418989,0.016688292,0.034085433,2.04247585,0.143912314,0.010941885,1.563292322,656405717.2,429375172.8,0.654130763,2499681000,266727208,1.771770349,0,1000
policy 9 run 3,100715366.1,256204067.2,2.543842882,2242264222,64285695.53,1.369232924,118004306.6,0,0,1517686.313,1517686.313,0,345900000,0,0,230600000,230600000,0,2258.280542,4228.209156,1.872313505,35404.18118,2258.280542,1.337617367,0.033694731,0.075431539,2.238674617,0.580148475,0.027948324,1.729419235,564621930.9,256207032.1,0.453767412,2281815525,174943421.8,1.218137455,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy Overijssel,101414732.9,256098235.4,2.525256717,2242264222,64985062.3,1.323773537,116486620.3,1.49E-08,1.28E-16,0,0,0,345900000,0,0,230600000,230600000,0,2289.22481,4223.709369,1.845039137,35404.18118,2289.22481,1.343218238,0.033655811,0.075391553,2.240075336,0.580148475,0.027909405,1.678394473,563803642.4,256101194.7,0.454238276,2280297839,174125133.2,1.195326234,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy RWS 1 run 2,427791462.1,505805233.7,1.182364022,2618199081,391361791.5,1.54531032,116697859.7,4.47E-08,3.83E-16,211239.4077,211239.4077,0,115300000,0,0,0,0,0,22627.90379,25811.59416,1.140697539,121098.9097,22627.90379,1.006699779,0.072212761,0.09376161,1.298407786,0.359375482,0.066466354,1.516873398,659811949.6,505829869.8,0.766627325,2387699677,270133440.5,2.743104924,0,1000
policy RWS 2 run 2,274915950.6,388120359.8,1.411778251,2146189151,238486280,1.701790849,116697859.7,4.47E-08,3.83E-16,211239.4077,211239.4077,0,230600000,0,0,115300000,115300000,0,15169.09445,20955.04234,1.381430013,105448.6643,15169.09445,1.249624568,0.044504408,0.072110554,1.62030139,0.30533699,0.038758002,1.610003451,622228979.3,388140848.2,0.623791018,2163754875,232550470.2,2.0708289,0,1000
policy RWS 3 run 2,180499332.7,305470849.7,1.692365535,1899591680,144069662.1,1.833449628,116697859.7,4.47E-08,3.83E-16,211239.4077,211239.4077,0,345900000,0,0,230600000,230600000,0,10121.498,16607.31835,1.640796486,93196.55882,10121.498,1.478516151,0.027783182,0.055021155,1.980376301,0.282534894,0.022036775,1.633452836,643107313.8,305487198.8,0.475017454,2032445151,253428804.7,1.693217643,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back up RfR3 - 1 run 2,899644933.1,982644833.9,1.09225851,2913856901,863215262.5,2.924225555,118004306.6,0,0,1517686.313,1517686.313,0,455700000,0,0,340400000,340400000,0,5190.382727,5320.131459,1.024997912,46962.60482,5190.382727,2.469808891,0.223001269,0.236796027,1.06185955,1.056848912,0.217254862,2.772494495,1473354430,982649886.2,0.666947386,3045072220,1083675921,1.354920961,0,1000
Back up RfR3 -2 run 2,354927161.9,610088737.9,1.718912508,2888173919,318497491.3,1.740115802,116537584.8,2.98E-08,2.56E-16,50964.50187,50964.50187,0,213300000,0,0,98000000,98000000,0,0,0,inf,0,0,0,0.261227435,0.414068394,1.585087698,2.053600965,0.255481028,1.243193279,684764746.7,610088737.9,0.890946476,2803400789,295086237.5,2.408442774,0,1000
