0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs,Expected Annual Costs,Scenario
1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,10,0,0,1,0,0,0,0,0,19369376.881932165,116580924.11935297,405700000.0,0.0,0.0076490153062569,522280924.11935294,19369376.881932165,Unfavourable_0
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,3,0,0,3,0,0,17183031.320961826,132772558.7097761,315200000.0,0.0,0.0103622307559825,447972558.7097761,17183031.320961826,Unfavourable_0
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,4,0,0,2,0,0,23230416.317390338,119337686.63124296,315200000.0,0.0,0.0167685033381499,434537686.631243,23230416.317390338,Unfavourable_0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,22073580.12667097,110260123.8096867,230600000.0,0.0,0.0108895972997471,340860123.8096867,22073580.12667097,Unfavourable_1
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,19126475.120284043,117530470.64053048,230600000.0,0.0,0.0085370673916856,348130470.64053047,19126475.120284043,Unfavourable_1
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,32242295.015153,103625123.3003211,230600000.0,0.0,0.0188710312765678,334225123.3003211,32242295.015153,Unfavourable_1
1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,15563497.70892884,100019154.30131644,382500000.0,0.0,0.0078488943489826,482519154.30131644,15563497.70892884,Unfavourable_1
1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,18154976.337957654,106654154.81068204,351800000.0,0.0,0.0136201070950883,458454154.81068206,18154976.337957654,Unfavourable_1
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,25220142.145838648,100019154.30131644,261300000.0,0.0,0.0133150461603345,361319154.30131644,25220142.145838648,Unfavourable_1
1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,20961111.017264277,96695140.83129872,382500000.0,0.0,0.0156339448066465,479195140.8312987,20961111.017264277,Unfavourable_1
0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,12668465.636463502,110260123.8096867,351800000.0,0.0,0.0055752049599813,462060123.8096867,12668465.636463502,Unfavourable_1
1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,21556056.059595965,100019154.30131644,351800000.0,0.0,0.0125743404495556,451819154.30131644,21556056.059595965,Unfavourable_1
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,5,0,0,9,0,0,0,0,0,0,0,0,25220142.145838648,132714055.39547835,176700000.0,0.0,0.0133150461603345,309414055.39547837,25220142.145838648,Unfavourable_1
1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,28368366.3793076,90643611.0,382500000.0,0.0,0.0176986097761086,473143611.0,28368366.3793076,Unfavourable_1
1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,8,0,0,6,0,0,6,0,0,0,0,0,16571576.5856392,125262666.8284686,351800000.0,0.0,0.0092429847726268,477062666.8284686,16571576.5856392,Unfavourable_3
