discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
4.5,4.5,2.5,131,147.45127113692325,0.7907172471306455,10.0,79.05032573087749,0.3963270388716615,1.0,78.1770782666301,0.6390480838640243,10.0,116.63385068862831,0.2799536818103711,1.0,36.24276978666617,0.7941489118173332,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_0,policy_8,dikesnet,66677451.72495318,77039977.40982035,236500000.0,0.0,0.05472740748809917
4.5,1.5,1.5,45,42.18228580315744,0.9677299943801057,1.0,172.8341822574565,0.83658669593385,10.0,117.27906034654868,0.5535788743656108,1.0,80.56532381559877,0.7563246580590715,1.5,108.95290948420688,0.8398780460478007,10.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_1,policy_8,dikesnet,31956691.522763748,77039977.40982035,236500000.0,0.0,0.023171195508387917
1.5,4.5,3.5,56,261.566895434895,0.3037660711229934,1.0,55.23177915484308,0.4533683136574254,1.0,269.91002079138786,0.8063258978122999,1.5,329.1099366367811,0.1883491848042114,10.0,45.52714782264192,0.0983481038729418,1.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_2,policy_8,dikesnet,307431456.6366439,77039977.40982035,236500000.0,0.0,0.2374118267202925
2.5,4.5,1.5,106,200.419118356935,0.0072193145147083,10.0,126.85209920457156,0.4240211164964129,1.0,219.7371321646026,0.8452879904277644,1.0,59.31874470567576,0.1189577042103656,1.0,297.6226897179059,0.6644546087135984,1.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_3,policy_8,dikesnet,2719046244.617716,77039977.40982035,236500000.0,0.0,1.6928287797857802
3.5,1.5,4.5,68,92.93691744704137,0.6493941326547089,1.5,139.98081654996838,0.4268328416109062,1.0,114.0269898420081,0.0495883538409539,10.0,276.1995922727705,0.9148080530742354,1.0,283.02965811514827,0.8149852466330497,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_4,policy_8,dikesnet,16500753.99657486,77039977.40982035,236500000.0,0.0,0.0170998538477355
1.5,3.5,1.5,42,340.4518835066869,0.557559969727827,1.0,42.055653743670106,0.787582354351576,10.0,230.9216646375752,1.3481411346393554e-05,1.0,247.9247774483051,0.2218354969420597,1.0,142.0418301631497,0.2142482764388242,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_5,policy_8,dikesnet,2384100013.409257,77039977.40982035,236500000.0,0.0,3.3121632792267968
1.5,1.5,1.5,68,77.93400817631422,0.1274789327238465,1.0,130.26540949447468,0.2072328364821453,1.5,181.0830978011833,0.0337103449323613,1.0,307.2675289402456,0.3515160137001437,10.0,277.34172446098233,0.7688185888088921,1.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_6,policy_8,dikesnet,3610074807.1086774,77039977.40982035,236500000.0,0.0,1.7075813036234158
1.5,2.5,1.5,70,180.67355302962164,0.3255206700307999,1.0,144.98793788929513,0.1091151663121469,1.0,128.62141780744778,0.0048121555211041,1.5,299.9361134785744,0.6608447575908203,10.0,65.93533515140933,0.8888588693850645,10.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_7,policy_8,dikesnet,182156735.68525076,77039977.40982035,236500000.0,0.0,0.12808637572457643
1.5,1.5,1.5,96,227.7094987822198,0.3185614358618104,10.0,146.65000730688,0.0314186770039959,1.5,342.66675985030685,0.002082007852759,1.5,99.83529022217029,0.0159142164521731,1.5,331.20416575803705,0.1657464373153405,1.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_8,policy_8,dikesnet,775322145.708763,77039977.40982035,236500000.0,0.0,0.4320606955209245
1.5,2.5,2.5,58,150.65611267864082,0.1506430439342506,1.5,197.36519662085672,0.0216965102965955,10.0,345.95290337775003,0.0419846088799999,1.0,227.78910539550824,0.1040169902135586,1.0,109.85434765481465,0.8896020922688048,1.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,scenario_9,policy_8,dikesnet,2424209288.19126,77039977.40982035,236500000.0,0.0,1.4578816400699208
