A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
79,68.623718290211,10.0,0.9988578667909405,156.58572260089528,1.5,0.9687662721827904,120.55268259035499,1.0,0.3067133518675103,81.70209969911252,1.0,0.13250289565003395,232.34761576430063,1.0,0.9198715007842846,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
10,266.1688008555994,10.0,0.7462554385187471,255.46399037720334,10.0,0.029141730548760323,230.3482974305174,10.0,0.4787984191230977,202.3918896696239,1.5,0.921204246208894,99.37343150035636,10.0,0.3928082045763476,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
89,185.91035590723862,1.5,0.3560163223500287,178.3915416941947,1.5,0.9810123592824362,101.77326502221153,10.0,0.6653489755245564,320.80010287102584,10.0,0.06407791790537748,112.05249526822458,10.0,0.3294375339594217,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
45,309.07366104998977,1.0,0.4628399051628947,243.3724868618147,1.5,0.10214919581916565,253.15171222201616,1.5,0.9930826963779731,50.53682731547586,1.0,0.7719393423594102,104.61383624249939,1.5,0.4090301143314149,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
25,314.7158724663657,10.0,0.4331373452582725,281.2438805625841,1.0,0.44155448181796453,236.54045629031455,10.0,0.3762706572089309,107.89843750553551,10.0,0.7840814497602822,47.41748508461093,1.5,0.8998990889558314,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
83,181.6190237240819,10.0,0.37765905576563247,207.43641690811728,1.0,0.952566629022103,201.9693755789152,1.5,0.3247139176675275,226.97255310518415,10.0,0.8127451454482929,346.78296818462337,1.0,0.007697554270814034,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
95,262.69881257353506,1.0,0.6108730235655299,141.1702191648101,1.5,0.2688250459577581,324.7434447117074,10.0,0.1776237871912008,259.17818092316566,10.0,0.11728185444921325,333.6969484537421,1.5,0.04790082277299254,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
79,334.34934562145196,1.0,0.48999492279599394,283.69013098978553,1.0,0.7583781022862813,299.91643910044326,10.0,0.7102379811644282,345.16589449661444,1.0,0.3745303537342745,291.8920456050456,10.0,0.8969006710518267,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
86,234.95569094679976,10.0,0.13942594100718697,44.73804629830756,10.0,0.5733867431626188,35.43725501801121,1.0,0.028567660345115722,282.8379772042494,10.0,0.20888602185718544,298.5163890934837,1.5,0.9940004764539757,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
80,46.924541560766265,1.0,0.3352564794448944,88.36633287428165,10.0,0.24918833051613906,268.31046258635524,1.5,0.03330430809661576,86.94734033003809,1.5,0.6121302794415387,119.2235903534708,10.0,0.7582578242390049,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
